nombre; precio;imagen;;;;;;;;;;
BANDEJA N°17 X 20UD DARN;2700;https://berpaadmin.com.co/backend/admin/backend/web/archivosDelCliente/items/images/6360-Productos-EMPAQUES-Y-DESECHABLES-BANDEJA-DARNEL-N-17-PACA-X-500-UNIDADES-636020230911134302.jpg;;;;;;;;;;
BANDEJA N°17 X 40UD DARN;5100;https://berpaadmin.com.co/backend/admin/backend/web/archivosDelCliente/items/images/6360-Productos-EMPAQUES-Y-DESECHABLES-BANDEJA-DARNEL-N-17-PACA-X-500-UNIDADES-636020230911134302.jpg;;;;;;;;;;
BANDEJA 3-1  X500UD;55500;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT30QIRIAgftm6fJGFPVVlFzIF1_98yB7aruw&s;;;;;;;;;;
BANDEJA HONDA 34-2.5 CHAMPIÑONERA X200UD;150900;https://cdn.ajoverdarnel.com/img/pf/D221201-4.jpg;;;;;;;;;;
BANDEJA N°1 X 20UD DARN;1700;https://cdn.ajoverdarnel.com/img/pf/D200101.jpg;;;;;;;;;;
BANDEJA N°1 X 40UD DARN;3100;https://cdn.ajoverdarnel.com/img/pf/D200101.jpg;;;;;;;;;;
BANDEJA N°7 X 20UD DARN;3400;https://cdn.ajoverdarnel.com/img/pf/D200701.jpg;;;;;;;;;;
BANDEJA N°7 X 40UD DARN;6200;https://cdn.ajoverdarnel.com/img/pf/D200701.jpg;;;;;;;;;;
BANDEJA N°8 X 20UD DARN;5700;https://cdn.ajoverdarnel.com/img/pf/D200801-3.jpg;;;;;;;;;;
BANDEJA J-2 X20UD DARN;7800;https://cdn.ajoverdarnel.com/img/pf/D403201.jpg;;;;;;;;;;
BANDEJA J-1 X20UD DARN;7700;https://cdn.ajoverdarnel.com/img/pf/D403101.jpg;;;;;;;;;;
BANDEJA P-3 X 20UD DARN;8600;https://cdn.ajoverdarnel.com/img/pf/D400501.jpg;;;;;;;;;;
BANDEJA P-1 X 20UD DARN;8600;https://cdn.ajoverdarnel.com/img/pf/D405101.jpg;;;;;;;;;;
PORTAC K-1 X 20UD DARN;6800;https://cdn.ajoverdarnel.com/img/pf/D407101.jpg;;;;;;;;;;
PORTACOM C-1 X20UD DARNEL;4700;https://cdn.ajoverdarnel.com/img/pf/D402001.jpg;;;;;;;;;;
PORTACOM T-1 X20UD DARN;16600;https://cdn.ajoverdarnel.com/img/pf/D406101.jpg;;;;;;;;;;
BANDEJA BIODEGRADABLE J-1 X20UD;17100;https://desechablesbiodegradables.com.co/cdn/shop/products/Diapositiva1_dc23798e-28f0-4258-9588-2b7b9a9a871d_735x700.jpg?v=1687877120;;;;;;;;;;
BANDEJA BIODEGRADABLE C-1 X20UD;10500;https://codipacsa.com/wp-content/uploads/2024/02/2024-02-16-09-58-34-768x1024.png;;;;;;;;;;
BANDEJA #1 1 1/2 X20UD;2400;https://cdn.ajoverdarnel.com/img/pf/D2150101.jpg;;;;;;;;;;
BANDEJA wave TERMICA J-1 X20UD DARN;10000;https://cdn.ajoverdarnel.com/img/pf/D403103NW.jpg;;;;;;;;;;
BANDEJA wave TERMICA C-1 X20UD DARN ;6100;https://cdn.ajoverdarnel.com/img/pf/D402103NW.jpg;;;;;;;;;;
BANDEJA wave TERMICA P-1 X20UD DARN;10200;https://cdn.ajoverdarnel.com/img/pf/D405103NW.jpg;;;;;;;;;;
CUCHARA BLANCA PEQUE X20UD DARNEL;1200;https://cdn.ajoverdarnel.com/img/pf/D950101.jpg;;;;;;;;;;
TENEDOR PEQUEÑO X100UD ;2500;https://exitocol.vtexassets.com/arquivos/ids/24071056/Tenedor-Blanco-X20-684288_b.jpg?v=638588518628400000;;;;;;;;;;
TENEDOR GRANDE INVERPLAST X100UD;4100;https://cdn.ajoverdarnel.com/img/pf/D91202001.jpg;;;;;;;;;;
CUCHARA GRANDE INVERPLAST 100UD;4100;https://www.foodservice-ni.com/wp-content/uploads/2021/05/1031011-Cuchara-plastica-blanca.jpg;;;;;;;;;;
CUCHARITA INVERPLAST 100UD;2500;https://dojiw2m9tvv09.cloudfront.net/34367/product/cuden081-1-4-402343.jpg;;;;;;;;;;
TENEDOR PEQ INVERPLAST 100UD;2400;https://exitocol.vtexassets.com/arquivos/ids/24071056/Tenedor-Blanco-X20-684288_b.jpg?v=638588518628400000;;;;;;;;;;
TENEDOR GRANDE TAMI X20UD;1700;https://cdn.ajoverdarnel.com/img/pf/D81102001.jpg;;;;;;;;;;
TENEDOR BLANCO PEQ X20UD;1200;https://cdn.ajoverdarnel.com/img/pf/D87110001L.jpg;;;;;;;;;;
CUCHILLO X20UD TAMI BLAN;1700;https://cdn.ajoverdarnel.com/img/pf/D82102001.jpg;;;;;;;;;;
CUCHARA SOPERA X20UD TAMI BLAN;2000;https://cdn.ajoverdarnel.com/img/pf/D84102001.jpg;;;;;;;;;;
CUCHILLO GRANDE X100UD INVERPLASC;3800;https://cdn.ajoverdarnel.com/img/pf/D92202001.jpg;;;;;;;;;;
CUCHARA CAPUCHINERA X 100UD;5800;https://image.made-in-china.com/202f0j00JeBbMjtqklcu/Disposable-Tableware-Plastic-Long-Handled-Coffee-Spoon-Thickened-Independent-Packaging-115mm-.webp;;;;;;;;;;
CUCHARITA DULCERA BLANCA X50UD;1500;https://cdn.ajoverdarnel.com/img/pf/D965101.jpg;;;;;;;;;;
CUCHARA GRANDE MADERA  X20UD;2500;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ78A6c0dCqy0fyvY5ubntcdFG0PV9RXUYRyg&s;;;;;;;;;;
TENEDOR GRANDE MADERA  X20UD;2100;https://static.wixstatic.com/media/cd9604_2c46da94ef57438e8ce90c414d8510ec~mv2.jpg/v1/fill/w_480,h_446,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/cd9604_2c46da94ef57438e8ce90c414d8510ec~mv2.jpg;;;;;;;;;;
CUCHILLO GRANDE MADERA  X20UD;2100;https://ecocosta.com.co/wp-content/uploads/2022/03/CUCHILLO-DE-MANDERA-320x320.jpg;;;;;;;;;;
MINI CUCHARA MADERA X50UD;3200;https://superdesechablesdelnorte.com/1177-large_default/cuchara-madera-mini-7-cm-el-sol-paquete-x-100.jpg;;;;;;;;;;
